Dados Sazonais para o Brasil,,,,,,,,,,,,,,,
Ano,Parâmetros,Unidades,Mês,,,,,,,,,,,,Média Anual
,,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,
2021,FE do SIN,tCO2/MWh,"0,1164","0,082","0,0673","0,0764","0,0883","0,1491","0,1634","0,1743","0,1699","0,1786","0,1484","0,1029","0,1264"
2021e,% etanol na gasolina,%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,"27,00%"
2021d,% biodiesel no diesel,%,12%,12%,13%,13%,10%,10%,10%,10%,12%,12%,10%,10%,"11,20%"
2022,FE do SIN,tCO2/MWh,"0,0732","0,0503","0,0406","0,0216","0,028","0,0441","0,0419","0,0457","0,0491","0,0471","0,0402","0,0294","0,0426"
2022e,% etanol na gasolina,%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,"27,00%"
2022d,% biodiesel no diesel,%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,"10,00%"
,,,,,,,,,,,,,,,
Fatores de Emissão para o Sistema Isolado do Amazonas,,,,,,,,,,,,,,,
Ano,Média Anual,Unidade,,Observação:,,,,,,,,,,,
2011,"0,4148",tCO2/MWh,,"O sistema do Amazona foi conectado ao SIN, deixando de ser um sistema isolado partir de 2015.",,,,,,,,,,,
2012,"0,7125",tCO2/MWh,,"Desse modo, para inventários a partir de 2015, as organizações que não estão conectadas ao SIN necessitam",,,,,,,,,,,
2013,"0,8726",tCO2/MWh,,calcular o próprio fator de emissão para consumo de energia elétrica de acordo com os dados de sua concessionária.,,,,,,,,,,,
2014,"0,8151",tCO2/MWh,,,,,,,,,,,,,
2015,"0,8438",tCO2/MWh,,,,,,,,,,,,,
